eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
201509021,2015-09-12,20th Battle of Alberta,AB,24,154453,2.0,2701,2327,R
201603003,2016-02-25,2016 Edmonton Championship,AB,16,109502,4.5,2370,2344,R
201603079,2016-03-27,2016 Alberta Chess Championship,AB,6,109502,4.0,2577,2384,R
201606064,2016-06-26,11th Edmonton International,AB,10,109502,4.5,2521,2420,R
201607034,2016-07-17,2016 Canadian Open,ON,48,102868,6.0,2357,2411,R
201609014,2016-09-10,2016 Battle of Alberta,AB,24,154453,1.5,2551,2416,R
201612052,2016-12-18,2016 WBX Tournament,AB,34,140705,3.5,2400,2415,R
201702081,2017-02-19,2017 Northern Alberta Open,AB,37,109502,4.5,2464,2434,R
201704064,2017-04-16,2017 Alberta Closed,AB,6,105606,4.0,2568,2456,R
201707002,2017-06-25,2017 Edmonton International Closed,AB,18,156393,6.0,2517,2476,R
201709026,2017-09-09,Battle of Alberta 2017,AB,24,154453,1.0,2382,2472,R
201804011,2018-04-01,2018 Alberta Closed Championship,AB,6,109502,4.5,2637,2499,R
201807039,2018-07-14,2018 Canadian Open,QC,58,160222,7.0,2608,2530,R
201906080,2019-06-23,14th Edmonton International,AB,10,158246,4.5,2388,2511,R
201907014,2019-07-01,Jina Burn Fort McMurray Open,AB,22,149964,3.5,2082,2496,R
201908015,2019-08-05,12th Calgary International,AB,7,135072,6.5,2452,2487,R
201909031,2019-09-07,Battle of Alberta 2019,AB,24,154453,2.0,2784,2499,R
201911057,2019-11-11,2019 Banff Open,AB,54,101737,4.0,2337,2484,R
202101002,2021-01-03,New Year's Event - Sigma 12,ON,117,161221,6.5,2359,2413,Q
202102026,2021-01-31,Eagle Minds Jan Grand Prix Open,ON,12,161759,5.0,2177,2344,Q
202103041,2021-02-07,Toronto CC online Sigma 14,ON,47,161221,4.0,1912,2344,Q
202104008,2021-03-31,The Evgeny Bareev Online 10 3,AB,41,171476,13.0,1944,2320,Q
202106001,2021-02-21,Le Tournoi du Carnaval Open,QC,9,157964,4.0,2076,2307,Q
202106017,2021-05-30,GM Evgeny Bareev Online Open,AB,12,171476,16.5,2022,2280,Q
202107001,2021-04-10,L'OPEN DE BLITZ DU CANADA EN LIGNE,QC,23,157964,9.5,1948,2275,Q
202108001,2021-08-02,2021 Alberta Closed,AB,6,101737,4.5,2605,2496,R
202110031,2021-10-24,Edmonton Sectionals 2021,AB,18,144013,5.0,2381,2499,R
202203019,2022-02-20,2022 Northern Alberta Open,AB,44,158246,4.5,2408,2500,R
202203040,2022-03-20,Alberta Closed,AB,6,158246,4.0,2516,2502,R
202207039,2022-07-17,2022 Canadian Open,ON,251,111830,6.0,2376,2484,R
202210002,2022-09-25,13th Calgary International,AB,10,155324,6.5,2541,2495,R
202303081,2023-03-19,2023 Alberta Closed,AB,6,172253,4.0,2497,2495,R
202305011,2023-03-04,Alberta Blitz Championship,AB,35,158246,9.0,2269,2285,Q
202305012,2023-03-05,Alberta Rapid Championship,AB,34,158246,3.0,1996,2267,Q
202308007,2023-07-30,2023 Canadian Open,ON,124,144419,7.0,2466,2495,R
